"Module","Type","String","Translation"
"MagoArab_WhatsappIcon","module","Modern Floating Chat Widget","نموذج محادثة عائم حديث"
"MagoArab_WhatsappIcon","module","Simple Floating Button","زر عائم بسيط"
"MagoArab_WhatsappIcon","module","Chat Bubble with Text","فقاعة محادثة مع نص"
"MagoArab_WhatsappIcon","module","Modern Chat Box","صندوق محادثة حديث"
"MagoArab_WhatsappIcon","module","Floating Action Button","زر عائم متحرك"
"MagoArab_WhatsappIcon","module","Pill Shape Button","زر على شكل حبة"
"MagoArab_WhatsappIcon","module","Notification Badge","شارة إشعارات"
"MagoArab_WhatsappIcon","module","Help Text Style","نمط نص المساعدة"
"MagoArab_WhatsappIcon","module","Gradient Button","زر بتدرج لوني"
"MagoArab_WhatsappIcon","module","Shadow Effect","تأثير الظل"
"MagoArab_WhatsappIcon","module","Bottom Right","أسفل يمين"
"MagoArab_WhatsappIcon","module","Bottom Left","أسفل يسار"
"MagoArab_WhatsappIcon","module","Top Right","أعلى يمين"
"MagoArab_WhatsappIcon","module","Top Left","أعلى يسار"
"MagoArab_WhatsappIcon","module","Small","صغير"
"MagoArab_WhatsappIcon","module","Medium","متوسط"
"MagoArab_WhatsappIcon","module","Large","كبير"
"MagoArab_WhatsappIcon","module","Extra Large","كبير جداً"
"MagoArab_WhatsappIcon","module","None","لا شيء"
"MagoArab_WhatsappIcon","module","Pulse","نبض"
"MagoArab_WhatsappIcon","module","Bounce","ارتداد"
"MagoArab_WhatsappIcon","module","Float","عائم"
"MagoArab_WhatsappIcon","module","All Pages","جميع الصفحات"
"MagoArab_WhatsappIcon","module","Homepage Only","الصفحة الرئيسية فقط"
"MagoArab_WhatsappIcon","module","Product Pages Only","صفحات المنتجات فقط"
"MagoArab_WhatsappIcon","module","Cart & Checkout Only","سلة التسوق والدفع فقط"
"MagoArab_WhatsappIcon","module","Specific CMS Pages","صفحات CMS محددة"
"MagoArab_WhatsappIcon","module","Random","عشوائي"
"MagoArab_WhatsappIcon","module","Round Robin","دوران"
"MagoArab_WhatsappIcon","module","Customer Support","دعم العملاء"
"MagoArab_WhatsappIcon","module","How can we help you?","كيف يمكننا مساعدتك؟"
"MagoArab_WhatsappIcon","module","Need Help?","تحتاج مساعدة؟"
"MagoArab_WhatsappIcon","module","Chat with us now","تحدث معنا الآن"
"MagoArab_WhatsappIcon","module","Hi! How can we help you today?","مرحباً! كيف يمكننا مساعدتك اليوم؟"
"MagoArab_WhatsappIcon","module","Chat with us on WhatsApp","تحدث معنا على واتساب"
"MagoArab_WhatsappIcon","module","No agents found. Click \"Add New Agent\" to create one.","لم يتم العثور على وكلاء. انقر على \"إضافة وكيل جديد\" لإنشاء واحد."
"MagoArab_WhatsappIcon","module","Are you sure you want to delete this agent?","هل أنت متأكد من حذف هذا الوكيل؟"
"MagoArab_WhatsappIcon","module","Error saving agents: ","خطأ في حفظ الوكلاء: "
"MagoArab_WhatsappIcon","module","Error saving agents. Please try again.","خطأ في حفظ الوكلاء. يرجى المحاولة مرة أخرى."
"MagoArab_WhatsappIcon","module","Agent name and phone are required.","اسم الوكيل ورقم الهاتف مطلوبان."
"MagoArab_WhatsappIcon","module","Agents saved successfully.","تم حفظ الوكلاء بنجاح."
"MagoArab_WhatsappIcon","module","Agents cleared successfully.","تم مسح الوكلاء بنجاح."
"MagoArab_WhatsappIcon","module","Manage Agents","إدارة الوكلاء"
"MagoArab_WhatsappIcon","module","Click to add, edit, or remove WhatsApp agents","انقر لإضافة أو تعديل أو حذف وكلاء واتساب"
